區,時間,12小時降雨機率,平均溫度,平均相對濕度,最小舒適度指數,最大風速,最高體感溫度,天氣現象,最大舒適度指數,最低溫度,紫外線指數,天氣預報綜合描述,最低體感溫度,最高溫度,風向,平均露點溫度
外埔區,夜晚,10,21,82,18,4,24,多雲時晴,22,19,,多雲時晴。降雨機率 10%。溫度攝氏19至23度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度82%。,19,23,偏北風,18
外埔區,早上,10,17,89,16,3,19,晴時多雲,18,17,4,晴時多雲。降雨機率 10%。溫度攝氏17至19度。稍有寒意。東北風 風速2級(每秒3公尺)。相對濕度89%。,17,19,東北風,16
外埔區,夜晚,10,20,85,16,5,23,多雲,21,16,,多雲。降雨機率 10%。溫度攝氏16至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度85%。,17,22,偏北風,17
外埔區,早上,10,18,90,18,4,19,多雲,19,18,4,多雲。降雨機率 10%。溫度攝氏18至19度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度90%。,18,19,偏北風,17
外埔區,夜晚,10,20,85,18,5,22,陰時多雲,21,18,,陰時多雲。降雨機率 10%。溫度攝氏18至22度。稍有寒意至舒適。偏北風 風速3級(每秒5公尺)。相對濕度85%。,18,22,偏北風,18
外埔區,早上,0,18,85,17,5,18,晴時多雲,19,17,4,晴時多雲。降雨機率 0%。溫度攝氏17至19度。稍有寒意。偏北風 風速3級(每秒5公尺)。相對濕度85%。,16,19,偏北風,15
外埔區,夜晚, ,20,80,17,6,21,多雲,21,17,,多雲。溫度攝氏17至22度。稍有寒意至舒適。東北風 風速4級(每秒6公尺)。相對濕度80%。,16,22,東北風,17
外埔區,早上, ,18,85,17,8,18,多雲,19,17,4,多雲。溫度攝氏17至19度。稍有寒意。東北風 風速5級(每秒8公尺)。相對濕度85%。,14,19,東北風,15
外埔區,夜晚, ,19,83,17,9,18,晴時多雲,20,17,,晴時多雲。溫度攝氏17至21度。稍有寒意至舒適。偏北風 風速5級(每秒9公尺)。相對濕度83%。,14,21,偏北風,16
外埔區,早上, ,17,86,16,6,15,多雲時晴,18,16,4,多雲時晴。溫度攝氏16至18度。稍有寒意。東北風 風速4級(每秒6公尺)。相對濕度86%。,15,18,東北風,14
外埔區,夜晚, ,18,84,16,6,19,陰時多雲,19,16,,陰時多雲。溫度攝氏16至20度。稍有寒意。偏北風 風速4級(每秒6公尺)。相對濕度84%。,15,20,偏北風,15
外埔區,早上, ,17,88,16,4,16,多雲,17,16,3,多雲。溫度攝氏16至17度。稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,16,17,偏北風,15
外埔區,夜晚, ,19,85,16,4,22,多雲,21,16,,多雲。溫度攝氏16至21度。稍有寒意至舒適。偏北風 風速3級(每秒4公尺)。相對濕度85%。,16,21,偏北風,16
外埔區,早上, ,16,88,15,4,17,多雲,17,15,3,多雲。溫度攝氏15至18度。寒冷至稍有寒意。偏北風 風速3級(每秒4公尺)。相對濕度88%。,14,18,偏北風,14
新社區,夜晚,10,21,80,18,2,25,晴時多雲,22,18,,晴時多雲。降雨機率 10%。溫度攝氏18至23度。稍有寒意至舒適。偏北風 風速2級(每秒2公尺)。相對濕度80%。,19,23,偏北風,18
